operation, x, y, z, xtype, ytype, ztype, xunit, yunit, zunit
kmeans, 1024, 2.893000, m, dataset size, time, allocator, , seconds, 
kmeans, 2048, 5.713000, m, dataset size, time, allocator, , seconds, 
kmeans, 4096, 11.206000, m, dataset size, time, allocator, , seconds, 
kmeans, 8192, 25.699000, m, dataset size, time, allocator, , seconds, 
kmeans, 16384, 44.997000, m, dataset size, time, allocator, , seconds, 
kmeans, 32768, 88.735000, m, dataset size, time, allocator, , seconds, 
kmeans, 65536, 183.711000, m, dataset size, time, allocator, , seconds, 
kmeans, 131072, 355.557000, m, dataset size, time, allocator, , seconds, 
kmeans, 1024, 2.639000, vcm, dataset size, time, allocator, , seconds, 
kmeans, 2048, 5.407000, vcm, dataset size, time, allocator, , seconds, 
kmeans, 4096, 10.938000, vcm, dataset size, time, allocator, , seconds, 
kmeans, 8192, 21.285000, vcm, dataset size, time, allocator, , seconds, 
kmeans, 16384, 42.721000, vcm, dataset size, time, allocator, , seconds, 
kmeans, 32768, 85.146000, vcm, dataset size, time, allocator, , seconds, 
kmeans, 65536, 174.120000, vcm, dataset size, time, allocator, , seconds, 
kmeans, 131072, 342.483000, vcm, dataset size, time, allocator, , seconds, 
kmeans, 1024, 2.617000, vcma, dataset size, time, allocator, , seconds, 
kmeans, 2048, 5.361000, vcma, dataset size, time, allocator, , seconds, 
kmeans, 4096, 10.725000, vcma, dataset size, time, allocator, , seconds, 
kmeans, 8192, 21.098000, vcma, dataset size, time, allocator, , seconds, 
kmeans, 16384, 41.939000, vcma, dataset size, time, allocator, , seconds, 
kmeans, 32768, 84.810000, vcma, dataset size, time, allocator, , seconds, 
kmeans, 65536, 170.754000, vcma, dataset size, time, allocator, , seconds, 
kmeans, 131072, 339.207000, vcma, dataset size, time, allocator, , seconds, 
