operation, x, y, z, xtype, ytype, ztype, xunit, yunit, zunit
knn, 1024, 0.003000, m, dataset size, time, allocator, , seconds, 
knn, 1024, 0.003000, m, dataset size, time, allocator, , seconds, 
knn, 1024, 0.005000, m, dataset size, time, allocator, , seconds, 
knn, 1024, 0.003000, m, dataset size, time, allocator, , seconds, 
knn, 1024, 0.003000, m, dataset size, time, allocator, , seconds, 
knn, 2048, 0.006000, m, dataset size, time, allocator, , seconds, 
knn, 2048, 0.007000, m, dataset size, time, allocator, , seconds, 
knn, 2048, 0.007000, m, dataset size, time, allocator, , seconds, 
knn, 2048, 0.007000, m, dataset size, time, allocator, , seconds, 
knn, 2048, 0.006000, m, dataset size, time, allocator, , seconds, 
knn, 4096, 0.018000, m, dataset size, time, allocator, , seconds, 
knn, 4096, 0.014000, m, dataset size, time, allocator, , seconds, 
knn, 4096, 0.013000, m, dataset size, time, allocator, , seconds, 
knn, 4096, 0.013000, m, dataset size, time, allocator, , seconds, 
knn, 4096, 0.018000, m, dataset size, time, allocator, , seconds, 
knn, 8192, 0.051000, m, dataset size, time, allocator, , seconds, 
knn, 8192, 0.055000, m, dataset size, time, allocator, , seconds, 
knn, 8192, 0.061000, m, dataset size, time, allocator, , seconds, 
knn, 8192, 0.051000, m, dataset size, time, allocator, , seconds, 
knn, 8192, 0.057000, m, dataset size, time, allocator, , seconds, 
knn, 16384, 0.047000, m, dataset size, time, allocator, , seconds, 
knn, 16384, 0.048000, m, dataset size, time, allocator, , seconds, 
knn, 16384, 0.047000, m, dataset size, time, allocator, , seconds, 
knn, 16384, 0.047000, m, dataset size, time, allocator, , seconds, 
knn, 16384, 0.047000, m, dataset size, time, allocator, , seconds, 
knn, 32768, 0.093000, m, dataset size, time, allocator, , seconds, 
knn, 32768, 0.094000, m, dataset size, time, allocator, , seconds, 
knn, 32768, 0.094000, m, dataset size, time, allocator, , seconds, 
knn, 32768, 0.094000, m, dataset size, time, allocator, , seconds, 
knn, 32768, 0.094000, m, dataset size, time, allocator, , seconds, 
knn, 65536, 0.184000, m, dataset size, time, allocator, , seconds, 
knn, 65536, 0.191000, m, dataset size, time, allocator, , seconds, 
knn, 65536, 0.182000, m, dataset size, time, allocator, , seconds, 
knn, 65536, 0.191000, m, dataset size, time, allocator, , seconds, 
knn, 65536, 0.184000, m, dataset size, time, allocator, , seconds, 
knn, 131072, 0.377000, m, dataset size, time, allocator, , seconds, 
knn, 131072, 0.403000, m, dataset size, time, allocator, , seconds, 
knn, 131072, 0.390000, m, dataset size, time, allocator, , seconds, 
knn, 131072, 0.391000, m, dataset size, time, allocator, , seconds, 
knn, 131072, 0.378000, m, dataset size, time, allocator, , seconds, 
knn, 1024, 0.004000, vcm, dataset size, time, allocator, , seconds, 
knn, 1024, 0.003000, vcm, dataset size, time, allocator, , seconds, 
knn, 1024, 0.002000, vcm, dataset size, time, allocator, , seconds, 
knn, 1024, 0.002000, vcm, dataset size, time, allocator, , seconds, 
knn, 1024, 0.003000, vcm, dataset size, time, allocator, , seconds, 
knn, 2048, 0.006000, vcm, dataset size, time, allocator, , seconds, 
knn, 2048, 0.006000, vcm, dataset size, time, allocator, , seconds, 
knn, 2048, 0.006000, vcm, dataset size, time, allocator, , seconds, 
knn, 2048, 0.007000, vcm, dataset size, time, allocator, , seconds, 
knn, 2048, 0.007000, vcm, dataset size, time, allocator, , seconds, 
knn, 4096, 0.012000, vcm, dataset size, time, allocator, , seconds, 
knn, 4096, 0.011000, vcm, dataset size, time, allocator, , seconds, 
knn, 4096, 0.012000, vcm, dataset size, time, allocator, , seconds, 
knn, 4096, 0.013000, vcm, dataset size, time, allocator, , seconds, 
knn, 4096, 0.016000, vcm, dataset size, time, allocator, , seconds, 
knn, 8192, 0.033000, vcm, dataset size, time, allocator, , seconds, 
knn, 8192, 0.024000, vcm, dataset size, time, allocator, , seconds, 
knn, 8192, 0.023000, vcm, dataset size, time, allocator, , seconds, 
knn, 8192, 0.048000, vcm, dataset size, time, allocator, , seconds, 
knn, 8192, 0.048000, vcm, dataset size, time, allocator, , seconds, 
knn, 16384, 0.044000, vcm, dataset size, time, allocator, , seconds, 
knn, 16384, 0.043000, vcm, dataset size, time, allocator, , seconds, 
knn, 16384, 0.045000, vcm, dataset size, time, allocator, , seconds, 
knn, 16384, 0.043000, vcm, dataset size, time, allocator, , seconds, 
knn, 16384, 0.044000, vcm, dataset size, time, allocator, , seconds, 
knn, 32768, 0.086000, vcm, dataset size, time, allocator, , seconds, 
knn, 32768, 0.085000, vcm, dataset size, time, allocator, , seconds, 
knn, 32768, 0.084000, vcm, dataset size, time, allocator, , seconds, 
knn, 32768, 0.085000, vcm, dataset size, time, allocator, , seconds, 
knn, 32768, 0.084000, vcm, dataset size, time, allocator, , seconds, 
knn, 65536, 0.166000, vcm, dataset size, time, allocator, , seconds, 
knn, 65536, 0.166000, vcm, dataset size, time, allocator, , seconds, 
knn, 65536, 0.167000, vcm, dataset size, time, allocator, , seconds, 
knn, 65536, 0.166000, vcm, dataset size, time, allocator, , seconds, 
knn, 65536, 0.166000, vcm, dataset size, time, allocator, , seconds, 
knn, 131072, 0.343000, vcm, dataset size, time, allocator, , seconds, 
knn, 131072, 0.371000, vcm, dataset size, time, allocator, , seconds, 
knn, 131072, 0.335000, vcm, dataset size, time, allocator, , seconds, 
knn, 131072, 0.342000, vcm, dataset size, time, allocator, , seconds, 
knn, 131072, 0.390000, vcm, dataset size, time, allocator, , seconds, 
knn, 1024, 0.003000, vcma, dataset size, time, allocator, , seconds, 
knn, 1024, 0.002000, vcma, dataset size, time, allocator, , seconds, 
knn, 1024, 0.002000, vcma, dataset size, time, allocator, , seconds, 
knn, 1024, 0.002000, vcma, dataset size, time, allocator, , seconds, 
knn, 1024, 0.003000, vcma, dataset size, time, allocator, , seconds, 
knn, 2048, 0.006000, vcma, dataset size, time, allocator, , seconds, 
knn, 2048, 0.007000, vcma, dataset size, time, allocator, , seconds, 
knn, 2048, 0.006000, vcma, dataset size, time, allocator, , seconds, 
knn, 2048, 0.006000, vcma, dataset size, time, allocator, , seconds, 
knn, 2048, 0.006000, vcma, dataset size, time, allocator, , seconds, 
knn, 4096, 0.013000, vcma, dataset size, time, allocator, , seconds, 
knn, 4096, 0.012000, vcma, dataset size, time, allocator, , seconds, 
knn, 4096, 0.012000, vcma, dataset size, time, allocator, , seconds, 
knn, 4096, 0.013000, vcma, dataset size, time, allocator, , seconds, 
knn, 4096, 0.014000, vcma, dataset size, time, allocator, , seconds, 
knn, 8192, 0.023000, vcma, dataset size, time, allocator, , seconds, 
knn, 8192, 0.038000, vcma, dataset size, time, allocator, , seconds, 
knn, 8192, 0.023000, vcma, dataset size, time, allocator, , seconds, 
knn, 8192, 0.024000, vcma, dataset size, time, allocator, , seconds, 
knn, 8192, 0.038000, vcma, dataset size, time, allocator, , seconds, 
knn, 16384, 0.045000, vcma, dataset size, time, allocator, , seconds, 
knn, 16384, 0.046000, vcma, dataset size, time, allocator, , seconds, 
knn, 16384, 0.042000, vcma, dataset size, time, allocator, , seconds, 
knn, 16384, 0.043000, vcma, dataset size, time, allocator, , seconds, 
knn, 16384, 0.042000, vcma, dataset size, time, allocator, , seconds, 
knn, 32768, 0.085000, vcma, dataset size, time, allocator, , seconds, 
knn, 32768, 0.084000, vcma, dataset size, time, allocator, , seconds, 
knn, 32768, 0.084000, vcma, dataset size, time, allocator, , seconds, 
knn, 32768, 0.085000, vcma, dataset size, time, allocator, , seconds, 
knn, 32768, 0.084000, vcma, dataset size, time, allocator, , seconds, 
knn, 65536, 0.160000, vcma, dataset size, time, allocator, , seconds, 
knn, 65536, 0.164000, vcma, dataset size, time, allocator, , seconds, 
knn, 65536, 0.160000, vcma, dataset size, time, allocator, , seconds, 
knn, 65536, 0.167000, vcma, dataset size, time, allocator, , seconds, 
knn, 65536, 0.164000, vcma, dataset size, time, allocator, , seconds, 
knn, 131072, 0.334000, vcma, dataset size, time, allocator, , seconds, 
knn, 131072, 0.344000, vcma, dataset size, time, allocator, , seconds, 
knn, 131072, 0.344000, vcma, dataset size, time, allocator, , seconds, 
knn, 131072, 0.348000, vcma, dataset size, time, allocator, , seconds, 
knn, 131072, 0.334000, vcma, dataset size, time, allocator, , seconds, 
