operation, x, y, z, xtype, ytype, ztype, xunit, yunit, zunit
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.236, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 512, 0.004, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 512, 3.895, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 1024, 0.019, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 1024, 47.15, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 2048, 0.084, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.238, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 512, 0.003, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 512, 3.698, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 1024, 0.006, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 1024, 33.887, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 4096, 2938.515, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.0, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.213, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 512, 0.001, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 512, 3.463, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 1024, 0.01, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 1024, 31.353, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 4096, 0.082, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 4096, 2304.477, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 4096, 0.081, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 4096, 3070.421, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 4096, 0.394, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 4096, 3238.298, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 2048, 0.078, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 2048, 384.35, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 2048, 0.021, vcm, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 2048, 313.293, vcm, matrix order, time, allocator, (NxN), seconds, 
linear access, 2048, 0.021, vcma, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 2048, 221.965, vcma, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.236, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.287, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.239, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.24, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.242, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.217, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.207, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.242, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.253, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.224, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.215, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.227, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.24, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.225, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.224, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.24, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.245, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.238, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.228, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.21, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.233, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.216, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.225, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.228, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.217, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.244, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.215, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.217, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.231, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.233, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.219, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.238, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.239, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.21, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.22, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.002, m, matrix order, time, allocator, (NxN), seconds, 
matrix multiplication, 256, 0.216, m, matrix order, time, allocator, (NxN), seconds, 
linear access, 256, 0.001, m, matrix order, time, allocator, (NxN), seconds, 
